Column Name,Definition
TransactionId,Уникальный идентификатор транзакции на платформе
BatchId,Уникальное идентификатор присваевыемый пакету транзакций для обработки
AccountId,Уникальный идентификатор пользователя на платформе
SubscriptionId,Уникальный идентификатор идентифицирующий подписку клиента
CustomerId,Уникальный идентификатор привязанный к аккаунту
CurrencyCode,Валюта страны
CountryCode,Цифровой географический код страны
ProviderId,Поставщик товара
ProductId,Идентификатор купленного товара
ProductCategory,Категория товара
ChannelId,Тип канала по которому прошел платеж web/android/ios/pay later/checkout
Amount,Стоимость сделки. Положительный говорит о списании/отрицательный о зачислении
Value,Абсолютное значение суммы
TransactionStartTime,Время начала транзакции
PricingStrategy,Категория ценовой структуры
FraudResult,Фродовый статус транзакции
ClientProfile,Тип профиля клиента по мнения платформы
TrasactionCategory,Рисковость транзакции по мнению внешней системы